Category,SKU,Name,English Name,Unit,Qty
,104,,,PCS,-2
,105,,,PCS,-3517
,106,,,PCS,-1635
,107,,,PCS,17
,109,,,PCS,82
,110,,,PCS,12
,111,,,PCS,77
,113,,,PCS,1
,114,,,PCS,1
,115,,,PCS,0
,116,,,PCS,0
,117,,,PCS,-11
,118,,,PCS,-429
,119,,,PCS,-8
,121,,,PCS,-4992
,122,,,PCS,-159
,123,,,PCS,26
,124,,,PCS,-131
,125,,,PCS,74
,126,,,PCS,-34
,127,,,PCS,0
,128,,,PCS,-91
,129,,,PCS,-380
,130,,,PCS,-1
,131,,,PCS,1
,132,,,PCS,-21
,133,,,PCS,-743
,134,,,PCS,-3
,137,,,PCS,-17
,138,,,PCS,1
,139,,,PCS,0
,140,,,PCS,-9
,141,,,PCS,-5
,142,,,PCS,-5
,143,,,PCS,1
,144,,,PCS,-3
,145,,,PCS,0
,148,,,PCS,28
,151,,,PCS,13
,152,,,PCS,27
,153,,,PCS,0
,155,,,PCS,1
,156,,,PCS,42
,158,,,PCS,2
,159,,,PCS,2
,162,,,PCS,1
,163,,,PCS,7
,166,,,PCS,0
,167,,,PCS,0
,168,,,PCS,-1
,172,,,PCS,-150
,179,,,PCS,11
,182,,,PCS,12
,196,,,PCS,2
,197,,,PCS,2
,198,,,PCS,-3
,199,,,PCS,1
,208,,,PCS,4
,209,,,PCS,0
,211,,,PCS,0
,212,,,PCS,-104
,213,,,PCS,-51
,214,,,PCS,0
,221,,,PCS,4
,222,,,PCS,-1
,226,,,PCS,7
,227,,,PCS,4
,230,,,PCS,103
,231,,,PCS,-26
,232,,,PCS,-1
,233,,,PCS,19
,234,,,PCS,13
,237,,,PCS,0
,238,,,PCS,1
,239,,,PCS,-5
,240,,,PCS,2
,241,,,PCS,-24
,242,,,PCS,13
,243,,,PCS,-8
,246,,,PCS,0
,247,,,PCS,9
,248,,,PCS,11
,249,,,PCS,18
,251,,,PCS,10
,252,,,PCS,-4
,253,,,PCS,0
,254,,,PCS,-7
,255,,,PCS,-36
,256,,,PCS,50
,257,,,PCS,1
,258,,,PCS,-3
,259,,,PCS,25
,260,,,PCS,19
,261,,,PCS,13
,262,,,PCS,23
,265,,,PCS,-24
,273,,,PCS,12
,274,,,PCS,2
,275,,,PCS,61
,284,,,PCS,0
,290,,,PCS,18
,291,,,PCS,0
,292,,,PCS,16
,295,,,PCS,6
,296,,,PCS,-3
,297,,,PCS,0
,298,,,PCS,63
,299,,,PCS,3
,301,,,PCS,-15
,302,,,PCS,-235
,303,,,PCS,6
,308,,,PCS,2
,310,,,PCS,-1
,315,,,PCS,-3
,323,,,PCS,-27
,325,,,PCS,-30
,330,,,PCS,-39
,333,,,PCS,1
,334,,,PCS,1
,335,,,PCS,4
,337,,,PCS,5
,338,,,PCS,3
,341,,,PCS,3
,342,,,PCS,8
,343,,,PCS,27
,344,,,PCS,31
,345,,,PCS,3
,346,,,PCS,4
,349,,,PCS,13
,350,,,PCS,-1
,351,,,PCS,29
,352,,,PCS,20
,353,,,PCS,21
,354,,,PCS,12
,355,,,PCS,-3
,356,,,PCS,1
,357,,,PCS,5
,364,,,PCS,0
,372,,,PCS,-3
,374,,,PCS,-8
,376,,,PCS,-2
,377,,,PCS,0
,393,,,PCS,-3
,395,,,PCS,-1
,399,,,PCS,-1
,407,,,PCS,1
,411,,,PCS,-25
,412,,,PCS,-16
,414,,,PCS,-2
,415,,,PCS,-1
,421,,,PCS,-40
,422,,,PCS,-9
,423,,,PCS,-15
,425,,,PCS,-4
,426,,,PCS,5
,427,,,PCS,5
,428,,,PCS,-2
,429,,,PCS,-1
,432,,,PCS,-18
,433,,,PCS,-165
,435,,,PCS,-7
,436,,,PCS,-12
,437,,,PCS,-8
,439,,,PCS,-2
,449,,,PCS,-3
,452,,,PCS,-1
,493,,,PCS,-7
,494,,,PCS,-6
,521,,,PCS,0
,538,,,PCS,-2
,559,,,PCS,0
,579,,,PCS,-4
,603,,,PCS,2
